#ID,name,KEGG_annotation,KEGG_pathway_annotation
neg_14059,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al",C01301,Primary bile acid biosynthesis(ko00120);;Metabolic pathways(ko01100)
neg_14067,Nervonic acid,C08323,Biosynthesis of unsaturated fatty acids(ko01040)
neg_14081,Stearic acid,C01530,Fatty acid biosynthesis(ko00061);;Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100);;Phototransduction - fly(ko04745)
neg_14084,docosanedioate,C19625,"Cutin, suberine and wax biosynthesis(ko00073)"
neg_14088,3-epi-6-deoxocathasterone,C16251,--
neg_14095,"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate",C04742,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Inflammatory mediator regulation of TRP channels(ko04750)
neg_14096,Cyclooctatin,C21979,Metabolic pathways(ko01100)
neg_1410,3-Dehydroquinate,C00944,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)"
neg_14107,Surfactin,C12043,--
neg_1411,D-Xylose,C00181,Pentose and glucuronate interconversions(ko00040);;Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100);;ABC transporters(ko02010)
neg_1412,N-Hydroxy-L-tyrosine,C03004,Metabolic pathways(ko01100)
neg_14187,6'-Oxogentamicin X2,C21267,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_14224,9(S)-HETE,C14779,Arachidonic acid metabolism(ko00590)
neg_14233,Docosanedioic acid,C19625,"Cutin, suberine and wax biosynthesis(ko00073)"
neg_14243,24-Methylenelophenol,C11522,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
neg_14249,Vindoline,C01626,Metabolic pathways(ko01100)
neg_14252,5''-Phosphoribostamycin,C18004,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_14268,Nicotinamide-beta-riboside,C03150,Nicotinate and nicotinamide metabolism(ko00760);;Metabolic pathways(ko01100);;Longevity regulating pathway - worm(ko04212)
neg_14277,Microcystin LR,C05371,Bile secretion(ko04976)
neg_14299,Eicosapentaenoic acid,C06428,Biosynthesis of unsaturated fatty acids(ko01040)
neg_14306,22alpha-Hydroxy-campest-4-en-3-one,C15796,Metabolic pathways(ko01100)
neg_14309,Oleandrin,C19987,--
neg_14320,Torulene,C08613,Metabolic pathways(ko01100)
neg_14332,Nalbuphine,C07251,--
neg_1434,dGMP,C00362,Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
neg_14342,gamma-Linolenic acid,C06426,Linoleic acid metabolism(ko00591);;Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100)
neg_14374,6'-Oxokanamycin C,C21252,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
neg_14380,Pregnenolone,C01953,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Ovarian steroidogenesis(ko04913);;Aldosterone synthesis and secretion(ko04925);;Cortisol synthesis and secretion(ko04927);;Cushing syndrome(ko04934)
neg_14386,Cortol,C05482,Steroid hormone biosynthesis(ko00140)
neg_14433,Chaps,C11321,--
neg_14435,"(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",C05817,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
neg_14459,"14alpha-Hydroxy-5beta-cholest-7-ene-3,6-dione",C16509,Insect hormone biosynthesis(ko00981)
neg_14460,Crepenynate,C07289,Linoleic acid metabolism(ko00591)
neg_1447,N-Acetyl-L-2-amino-6-oxopimelate,C05539,Monobactam biosynthesis(ko00261);;Lysine biosynthesis(ko00300);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)
neg_14483,9-Fluoroprednisolone,C14484,--
neg_14496,3-Ethylmalate,C01989,Glyoxylate and dicarboxylate metabolism(ko00630)
neg_14499,Icosenoic acid,C16526,Biosynthesis of unsaturated fatty acids(ko01040)
neg_14531,all-trans-Retinoyl-beta-glucuronide,C11061,Retinol metabolism(ko00830)
