#ID,name,HMDB_ID,CAS,kingdom(HMDB),super_class(HMDB),class(HMDB),sub_class(HMDB)
pos_10586,7-Aminoheptanoic acid,HMDB0247233,--,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
pos_10594,"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0010404,162440-05-3,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines
pos_10601,Majoroside F2,HMDB0030513,114019-97-5,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids
pos_10626,SM(d18:1/PGJ2),HMDB0290520,--,--,--,--,--
pos_10640,3'-Hydroxyamobarbital,HMDB0246097,--,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives
pos_10641,N-(L-Arginino)succinate,HMDB0000052,2387-71-5,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10643,Cyclocalopin F,HMDB0039825,--,Organic compounds,Organoheterocyclic compounds,Furopyrans,--
pos_10647,Oleoylcarnitine,HMDB0005065,38677-66-6,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
pos_10648,Armillarin,HMDB0039380,83329-14-0,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
pos_10667,S-(3-Methyl-2-butenyl) ethanethioate,HMDB0031698,33049-93-3,Organic compounds,Organic acids and derivatives,Thiocarboxylic acids and derivatives,Thioesters
pos_10668,trans-cinnamate,HMDB0000930,140-10-3,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids
pos_10669,"2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid",HMDB0304057,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10670,Phenol A,HMDB0256407,--,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes
pos_10671,Aspartyl-Threonine,HMDB0028763,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10672,1-Hydroxyepiacorone,HMDB0030918,185154-96-5,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
pos_10673,3-methylcytidine,HMDB0240577,2140-64-9,--,--,--,--
pos_10676,Cocaethylene,HMDB0041860,529-38-4,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
pos_10677,alpha-Zearalenol,HMDB0041824,36455-72-8,Organic compounds,Phenylpropanoids and polyketides,Macrolides and analogues,--
pos_10683,Lefradafibanum,HMDB0254003,--,Organic compounds,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
pos_10685,Cinncassiol C1 19-glucoside,HMDB0035167,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides
pos_10687,D-Urobilinogen,HMDB0004158,17208-65-0,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,Bilirubins
pos_10690,Candidin,HMDB0259425,--,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
pos_10694,Dixyrazine,HMDB0251503,--,Organic compounds,Organoheterocyclic compounds,Benzothiazines,Phenothiazines
pos_10706,Nodularin-R,HMDB0255693,--,Organic compounds,Organic acids and derivatives,Peptidomimetics,Hybrid peptides
pos_10713,Campesterol,HMDB0002869,474-62-4,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Ergostane steroids
pos_10717,S-(PGA1)-glutathione,HMDB0013061,--,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10725,L-Proline,HMDB0000162,147-85-3,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
pos_10750,Pipercitine,HMDB0039937,--,Organic compounds,Organoheterocyclic compounds,Piperidines,N-acylpiperidines
pos_10753,"LysoPE(18:2(9Z,12Z)/0:0)",HMDB0011507,85046-18-0,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
pos_10756,"LysoPE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",HMDB0011526,--,Organic compounds,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines
pos_10770,"taxa-4(20),11-dien-5alpha-ol",HMDB0304494,--,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids
pos_10775,arachidonoylethanolamine,HMDB0248558,--,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
pos_10778,Prostaglandin A2,HMDB0002752,13345-50-1,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids
