"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006869","lipid transport","4/9","461/18860",0.00867678958785249,18.1826946252109,8.16127502011817,4.02744713478906e-05,0.000674701195261054,0.000156902172695526,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:0043434","response to peptide hormone","4/9","461/18860",0.00867678958785249,18.1826946252109,8.16127502011817,4.02744713478906e-05,0.000674701195261054,0.000156902172695526,"AKT1/MAPK14/PPARG/SIRT1",4
"BP","GO:2001235","positive regulation of apoptotic signaling pathway","3/9","154/18860",0.0194805194805195,40.8225108225108,10.8420629034891,4.32610003676199e-05,0.00071733801629982,0.000166817391320897,"PPARG/PTPRC/SIRT1",3
"BP","GO:0032368","regulation of lipid transport","3/9","155/18860",0.0193548387096774,40.5591397849462,10.8055585362525,4.41042663343885e-05,0.000723933664579609,0.000168351213333817,"AKT1/PPARG/SIRT1",3
"BP","GO:0030099","myeloid cell differentiation","4/9","481/18860",0.00831600831600832,17.4266574266574,7.97396247769967,4.75520417532554e-05,0.0007727206784904,0.000179696663046512,"MAPK14/MMP9/PPARG/SIRT1",4
"BP","GO:0010876","lipid localization","4/9","483/18860",0.0082815734989648,17.3544973544974,7.95585477290055,4.83295227573207e-05,0.000777578955253922,0.00018082645825824,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:0010224","response to UV-B","2/9","23/18860",0.0869565217391304,182.222222222222,19.0012813686766,5.09489546815138e-05,0.000811686778014313,0.000188758253154422,"BCL2/MAPK14",2
"BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","3/9","167/18860",0.0179640718562874,37.6447105788423,10.3930595766101,5.50802940278727e-05,0.000868233142303072,0.00020190814450967,"AKT1/BCL2/PTPRC",3
"BP","GO:1902254","negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator","2/9","24/18860",0.0833333333333333,174.62962962963,18.5972404858283,5.55669211073966e-05,0.000868233142303072,0.00020190814450967,"BCL2/SIRT1",2
"BP","GO:0051147","regulation of muscle cell differentiation","3/9","169/18860",0.0177514792899408,37.1992110453649,10.3285552522561,5.70679139919265e-05,0.00088319390701791,0.00020538727942959,"BCL2/MAPK14/SIRT1",3
"BP","GO:0048660","regulation of smooth muscle cell proliferation","3/9","172/18860",0.0174418604651163,36.5503875968992,10.2338851573251,6.01368519294463e-05,0.000917044874602028,0.000213259342498544,"AKT1/MMP9/PPARG",3
"BP","GO:0035331","negative regulation of hippo signaling","2/9","25/18860",0.08,167.644444444444,18.2176108234129,6.0383877896872e-05,0.000917044874602028,0.000213259342498544,"MAPK14/SIRT1",2
"BP","GO:0048639","positive regulation of developmental growth","3/9","174/18860",0.0172413793103448,36.1302681992337,10.172116033571,6.22418906139158e-05,0.00093650992821864,0.00021778595253797,"AKT1/BCL2/MAPK14",3
"BP","GO:0007292","female gamete generation","3/9","176/18860",0.0170454545454545,35.719696969697,10.1113866774366,6.43947850900027e-05,0.000951286597920494,0.000221222276050823,"AKT1/BCL2/SIRT1",3
"BP","GO:0048659","smooth muscle cell proliferation","3/9","176/18860",0.0170454545454545,35.719696969697,10.1113866774366,6.43947850900027e-05,0.000951286597920494,0.000221222276050823,"AKT1/MMP9/PPARG",3
"BP","GO:0015718","monocarboxylic acid transport","3/9","180/18860",0.0166666666666667,34.9259259259259,9.99293159150054,6.88461645011338e-05,0.00100648917283462,0.000234059668370933,"AKT1/PPARG/PTGS2",3
"BP","GO:0001936","regulation of endothelial cell proliferation","3/9","181/18860",0.0165745856353591,34.7329650092081,9.96392340772829,6.99897086340382e-05,0.00100648917283462,0.000234059668370933,"AKT1/PPARG/SIRT1",3
"BP","GO:0043524","negative regulation of neuron apoptotic process","3/9","181/18860",0.0165745856353591,34.7329650092081,9.96392340772829,6.99897086340382e-05,0.00100648917283462,0.000234059668370933,"AKT1/BCL2/SIRT1",3
"BP","GO:0010875","positive regulation of cholesterol efflux","2/9","27/18860",0.0740740740740741,155.22633744856,17.522419048376,7.06141680862284e-05,0.00100656160649229,0.000234076512862013,"PPARG/SIRT1",2
"BP","GO:1905952","regulation of lipid localization","3/9","183/18860",0.0163934426229508,34.3533697632058,9.90661058722099,7.23140765303964e-05,0.00102182934227734,0.000237627034090731,"AKT1/PPARG/SIRT1",3
"BP","GO:0007009","plasma membrane organization","3/9","185/18860",0.0162162162162162,33.981981981982,9.85021471415111,7.46885691423801e-05,0.00104628383496869,0.00024331394121701,"AKT1/CASP1/PTPRC",3
"BP","GO:0035265","organ growth","3/9","187/18860",0.0160427807486631,33.6185383244207,9.79471128112551,7.71136878091673e-05,0.00107102344179399,0.000249067151808287,"AKT1/BCL2/MAPK14",3
"BP","GO:0071478","cellular response to radiation","3/9","188/18860",0.0159574468085106,33.4397163120567,9.76728682077948,7.83453882972633e-05,0.00107890894900892,0.000250900931299889,"MAPK14/MMP9/SIRT1",3
"BP","GO:0035357","peroxisome proliferator activated receptor signaling pathway","2/9","30/18860",0.0666666666666667,139.703703703704,16.6125734258165,8.74483174618928e-05,0.00119077057759053,0.000276914420958705,"PPARG/SIRT1",2
"BP","GO:0009267","cellular response to starvation","3/9","196/18860",0.0153061224489796,32.0748299319728,9.55537689122523,8.86666091621258e-05,0.00119077057759053,0.000276914420958705,"AKT1/BCL2/SIRT1",3
"BP","GO:0072331","signal transduction by p53 class mediator","3/9","196/18860",0.0153061224489796,32.0748299319728,9.55537689122523,8.86666091621258e-05,0.00119077057759053,0.000276914420958705,"AKT1/BCL2/SIRT1",3
"BP","GO:0001959","regulation of cytokine-mediated signaling pathway","3/9","198/18860",0.0151515151515152,31.7508417508418,9.50438235085292,9.13790861608939e-05,0.00121713946730699,0.000283046522275763,"CASP1/PPARG/PTPRC",3
"BP","GO:0001516","prostaglandin biosynthetic process","2/9","31/18860",0.0645161290322581,135.197132616487,16.3389387166383,9.34560975266308e-05,0.00122472708452238,0.000284811027267067,"PTGS2/SIRT1",2
"BP","GO:1902230","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage","2/9","31/18860",0.0645161290322581,135.197132616487,16.3389387166383,9.34560975266308e-05,0.00122472708452238,0.000284811027267067,"BCL2/SIRT1",2
"BP","GO:0001935","endothelial cell proliferation","3/9","204/18860",0.0147058823529412,30.8169934640523,9.35584580566898,9.98416471971491e-05,0.00129616315055662,0.000301423527805556,"AKT1/PPARG/SIRT1",3
"BP","GO:0000302","response to reactive oxygen species","3/9","205/18860",0.0146341463414634,30.6666666666667,9.33171451643772,0.000101300135458887,0.00129616315055662,0.000301423527805556,"AKT1/BCL2/SIRT1",3
"BP","GO:0046890","regulation of lipid biosynthetic process","3/9","205/18860",0.0146341463414634,30.6666666666667,9.33171451643772,0.000101300135458887,0.00129616315055662,0.000301423527805556,"AKT1/PTGS2/SIRT1",3
"BP","GO:0006006","glucose metabolic process","3/9","206/18860",0.0145631067961165,30.5177993527508,9.30775597149628,0.000102772519348517,0.00130472924954172,0.000303415579326626,"AKT1/MAPK14/SIRT1",3
"BP","GO:0046457","prostanoid biosynthetic process","2/9","33/18860",0.0606060606060606,127.003367003367,15.8293086447894,0.000106065363690464,0.0013360946976512,0.000310709633332327,"PTGS2/SIRT1",2
"BP","GO:0050728","negative regulation of inflammatory response","3/9","210/18860",0.0142857142857143,29.9365079365079,9.21360812389415,0.000108802235775601,0.00134964605446833,0.000313861009589721,"MAPK14/PPARG/PTPRC",3
"BP","GO:0060759","regulation of response to cytokine stimulus","3/9","210/18860",0.0142857142857143,29.9365079365079,9.21360812389415,0.000108802235775601,0.00134964605446833,0.000313861009589721,"CASP1/PPARG/PTPRC",3
"BP","GO:0051651","maintenance of location in cell","3/9","212/18860",0.0141509433962264,29.6540880503145,9.16751817323495,0.000111902057925693,0.00136629216094821,0.000317732071760588,"AKT1/PTPRC/SIRT1",3
"BP","GO:0033032","regulation of myeloid cell apoptotic process","2/9","34/18860",0.0588235294117647,123.267973856209,15.5914510308825,0.000112666553579729,0.00136629216094821,0.000317732071760588,"BCL2/SIRT1",2
"BP","GO:0071498","cellular response to fluid shear stress","2/9","34/18860",0.0588235294117647,123.267973856209,15.5914510308825,0.000112666553579729,0.00136629216094821,0.000317732071760588,"AKT1/PTGS2",2
"BP","GO:0031400","negative regulation of protein modification process","3/9","217/18860",0.0138248847926267,28.9708141321045,9.05504186861696,0.000119903333097556,0.00144328086135947,0.000335635840795497,"AKT1/PTPRC/SIRT1",3
"BP","GO:0032869","cellular response to insulin stimulus","3/9","219/18860",0.0136986301369863,28.7062404870624,9.01111312816389,0.000123205805801896,0.00144718044960064,0.000336542692409153,"AKT1/PPARG/SIRT1",3
"BP","GO:0001893","maternal placenta development","2/9","36/18860",0.0555555555555556,116.41975308642,15.145681594177,0.000126461306980487,0.00144718044960064,0.000336542692409153,"AKT1/PTGS2",2
"BP","GO:0032373","positive regulation of sterol transport","2/9","36/18860",0.0555555555555556,116.41975308642,15.145681594177,0.000126461306980487,0.00144718044960064,0.000336542692409153,"PPARG/SIRT1",2
"BP","GO:0032376","positive regulation of cholesterol transport","2/9","36/18860",0.0555555555555556,116.41975308642,15.145681594177,0.000126461306980487,0.00144718044960064,0.000336542692409153,"PPARG/SIRT1",2
"BP","GO:0043276","anoikis","2/9","36/18860",0.0555555555555556,116.41975308642,15.145681594177,0.000126461306980487,0.00144718044960064,0.000336542692409153,"AKT1/BCL2",2
"BP","GO:1902176","negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","2/9","36/18860",0.0555555555555556,116.41975308642,15.145681594177,0.000126461306980487,0.00144718044960064,0.000336542692409153,"AKT1/SIRT1",2
"BP","GO:1904893","negative regulation of receptor signaling pathway via STAT","2/9","36/18860",0.0555555555555556,116.41975308642,15.145681594177,0.000126461306980487,0.00144718044960064,0.000336542692409153,"PPARG/PTPRC",2
"BP","GO:0051235","maintenance of location","3/9","223/18860",0.0134529147982063,28.1913303437967,8.92500099646602,0.000129988206000865,0.00147713870455529,0.000343509502792129,"AKT1/PTPRC/SIRT1",3
"BP","GO:1901099","negative regulation of signal transduction in absence of ligand","2/9","37/18860",0.0540540540540541,113.273273273273,14.9364095630735,0.00013365457470773,0.00148759372534288,0.000345940824225486,"AKT1/BCL2",2
"BP","GO:1902253","regulation of intrinsic apoptotic signaling pathway by p53 class mediator","2/9","37/18860",0.0540540540540541,113.273273273273,14.9364095630735,0.00013365457470773,0.00148759372534288,0.000345940824225486,"BCL2/SIRT1",2
