"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant"
"GGA2",-1.01792779591458,7.38500808047619,-8.44149886994839,8.09237782541152e-12,3.37383712323127e-10,16.6381446244487,"Down"
"B3GALT4",0.877991824482511,7.64520456694738,8.43811851446315,8.20060024089402e-12,3.40765438109216e-10,16.6250411203068,"Up"
"CA4",2.01064052680996,9.54087583202972,8.43338586179262,8.35456043478829e-12,3.46590180413494e-10,16.6066947424242,"Up"
"TBC1D8",1.51103904907366,6.74193946675179,8.42872847197106,8.5089030081942e-12,3.52411567752887e-10,16.5886391372316,"Up"
"NDUFA1",1.43461775304185,10.7244319910319,8.42651917496511,8.58311461421506e-12,3.54900495725932e-10,16.5800738710827,"Up"
"CTSO",-0.834438458800802,7.75789779130263,-8.42446252844857,8.65278205101833e-12,3.57193662992777e-10,16.5721002219167,"Down"
"CA5B",-1.18548790499584,7.34063350702543,-8.4096073115913,9.17312708418886e-12,3.7743439426597e-10,16.5145007345671,"Down"
"RPL15",-1.13397452156954,10.3611997009334,-8.4057693078235,9.31259283486489e-12,3.82546705667489e-10,16.4996177085448,"Down"
"SIGLEC9",1.54423936511268,6.24715317416344,8.40463706735784,9.35414116033093e-12,3.83626604846198e-10,16.4952269787411,"Up"
"BIRC2",1.03566696920042,8.36650348567722,8.40143884570989,9.47250923530406e-12,3.87848342305446e-10,16.4828242515626,"Up"
"CHST7",-1.12568959751607,8.69997850683685,-8.39584524905731,9.68315500280374e-12,3.95185903848191e-10,16.4611311724872,"Down"
"LOC440341",-1.07211885453176,7.93263375369495,-8.39416639873064,9.74728986170404e-12,3.97158617703792e-10,16.4546199928447,"Down"
"LRG1",1.28120651772855,10.0629541278525,8.39120512583247,9.86145578441097e-12,4.00918916261861e-10,16.4431348250891,"Up"
"RAB11FIP3",-1.11745404774577,7.52384606549605,-8.38832997102923,9.97358482484178e-12,4.04412778220197e-10,16.4319833015493,"Down"
"EMR1",1.40223418674997,6.99678246765522,8.38178868286439,1.02334783401357e-11,4.14282842948491e-10,16.4066110604919,"Up"
