Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Acetivibrio,0.00340174622973126,0.00392823017305446,0.0004197565412061,0.0011243324276211,0.00174856798311727,0,0.00232306024469568,0.00207168013258753,0.00334801762114537,0.00221852468108708,0.00213846565089548,0.00166712975826619,0,0,0,0,0,0,0.000180864532465184,0.000451620187422378,0.000614439324116743,0,0,0
Lachnospira,0.00873114865631024,0.00679477651555367,0.0002798376941374,0.000843249320715825,0.000904431715405487,0.00176824236708712,0,0.000621504039776259,0,0,0.00106923282544774,0,0,0,0,0,0,0,0.000452161331162959,0.00191938579654511,0,0.000692390004406118,0.000848347741779106,0.000687947165657678
Luxibacter,0.00238122236081188,0.00191103089499947,0.00034979711767175,0.0003747774758737,0.00072354537232439,0.00153247671814217,0.00201331887873626,0.000828672053035011,0.00123348017621145,0.000831946755407654,0.000801924619085806,0.000277854959711031,0.00100401606425703,0.000527704485488127,0.000476235831983998,0.000610724319042384,0.00082355363393041,0.000321827982943117,0.00262253572074516,0.00124195551541154,0,0.00107005727953673,0.000929142764805688,0.00254540451293341
Shigella,0,0,0,0,0,0,0.00325228434257395,0.000621504039776259,0.00176211453744493,0.00443704936217415,0.00240577385725742,0.00222283967768825,0,0,0,0,0,0,0.00298426478567553,0.00146776560912273,0.000512032770097286,0.000566500912695915,0.000686757695725943,0.00158227848101266
Acetobacterium,0.00283478852477605,0.00339738825777683,0,0,0,0,0.00340715502555366,0.000621504039776259,0.00229074889867841,0.00332778702163062,0.00240577385725742,0.00166712975826619,0,0,0,0,0,0,0,0.00101614542170035,0.000204813108038914,0,0,0
Hungatella,0,0.000424673532222104,0.000699594235343501,0,0.000602954476936991,0,0.00170357751277683,0.00186451211932878,0.00158590308370044,0.00194120909595119,0.00187115744453355,0.00138927479855515,0.000557786702365016,0.00123131046613896,0,0,0,0.000241370987207338,0.00180864532465184,0,0.000307219662058372,0.000125889091710203,0.000201987557566454,0.00165107319757843
Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0.0178491744756805,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas,0,0,0.0012592696236183,0.0007495549517474,0.000904431715405487,0.00153247671814217,0.0012389654638377,0.00124300807955252,0.00105726872246696,0.00332778702163062,0,0.00111141983884412,0,0,0,0,0.000480406286459406,0,0.00126605172725628,0.000451620187422378,0.000307219662058372,0,0.000201987557566454,0.00103192074848652
Pseudobutyrivibrio,0.00056695770495521,0.000212336766111052,6.99594235343501e-05,0.000843249320715825,0.000301477238468496,0.000353648473417423,0.000929224097878272,0.00165734410607002,0.00105726872246696,0.00166389351081531,0.00160384923817161,0.00138927479855515,0,0,0,0,0,0,0,0.00180648074968951,0.000204813108038914,0.000440611820985712,0.000161590046053163,0
Tyzzerella,0.00102052386891938,0.000743178681388683,0,0,0,0,0.00170357751277683,0,0.00123348017621145,0.00332778702163062,0.00187115744453355,0.00111141983884412,0,0,0,0,0,0,0.000180864532465184,0,0.00174091141833077,0,0,0
Lacrimispora,0.000793740786937294,0.000849347064444209,0.000489715964740451,0.000281083106905275,0.000180886343081097,0,0.00077435341489856,0,0,0,0,0,0.00211958946898706,0.00140721196130167,0,0.00366434591425431,0,8.04569957357792e-05,0.000180864532465184,0.000677430281133567,0.00102406554019457,0,0.000121192534539872,0.000137589433131535
Sedimentibacter,0,0,0,0,0,0.000353648473417423,0,0,0,0,0,0,0,0,0.00485760548623678,0,0.00473543339509986,0.00177005390618714,0,0,0,0.000125889091710203,0.000121192534539872,0
Proteocatella,0.000907132327928337,0.000743178681388683,0.0001399188470687,0,0,0,0.000929224097878272,0.000828672053035011,0.00052863436123348,0.000277315585135885,0,0.000555709919422062,0.00156180276662204,0,0,0.00403078050567974,0,0,0.000361729064930367,0,0,0,0.000121192534539872,0
Prevotella,0,0,0,0,0,0,0.000309741365959424,0,0.00105726872246696,0.000831946755407654,0,0.000833564879133093,0,0,0,0,0,0,0,0.00733882804561364,0,0.000251778183420407,0,0
Pseudoflavonifractor,0,0.000212336766111052,0.00034979711767175,0.000281083106905275,0.000482363581549593,0.000353648473417423,0.000464612048939136,0,0,0.00110926234054354,0,0,0.00100401606425703,0.000527704485488127,0.0010477188303648,0.000610724319042384,0.000617665225447807,0,0.000723458129860734,0.000451620187422378,0,0.000188833637565305,0,0.000687947165657678
