Genus,K1,K2,K3,K4,K5,K6,M1,M2,M3,M4,M5,M6,Y1,Y2,Y3,Y4,Y5,Y6,Z1,Z2,Z3,Z4,Z5,Z6
Parabacteroides,0.0065653723504033,0.00694183864915572,0.000697058413495051,0.000165837479270315,0.00061012812690665,0.000528262017960909,0.00717289141726441,0.00913884007029877,0.00849692352768825,0.0109489051094891,0.0101733232856066,0.0122799836266885,0,0,0,0,0,0,0.00426970289983989,0.00311267897904129,0.000583203732503888,0.000584932147870847,0,0.00550644834082017
Acetatifactor,0.00075032826861752,0.000375234521575985,0.000836470096194061,0.00132669983416252,0.00158633312995729,0.00184891706286318,0.00544150383378679,0.00738137082601054,0.00585994726047466,0.0064882400648824,0.00715900527505652,0.00777732296356938,0.00321543408360129,0,0.000889877641824249,0.00114836931557189,0.00016739203213927,0.000790638836179633,0.00729407578722647,0.00622535795808259,0.00330482115085537,0.00467945718296678,0.00387221684414327,0.00739023329952181
Mycoplasma,0.00206340273869818,0.00187617260787992,0,0,0,0,0.0175612169181301,0.00843585237258348,0.0111338997949018,0.0113544201135442,0.0120572720422005,0.0118706508391322,0,0,0,0,0,0,0,0.00664038182195476,0,0.00105287786616752,0.000484027105517909,0.000434719605854224
Anaerobutyricum,0,0.000375234521575985,0.000418235048097031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182737169517885,0.0273748245203556,0.03702807357212,0
Kineothrix,0.00168823860438942,0.00168855534709193,0.000557646730796041,0.00149253731343284,0.00134228187919463,0.000660327522451136,0,0,0.000878992089071198,0,0.000376789751318764,0,0,0,0,0,0,0,0.000533712862479986,0,0.0159409020217729,0.0231633130556855,0.0277508873830268,0.000434719605854224
Lachnoclostridium,0.0129431626336522,0.0125703564727955,0.00223058692318416,0.00248756218905473,0.00317266625991458,0.00330163761225568,0.00321543408360129,0.00351493848857645,0.00322297099326106,0.0024330900243309,0.00226073850791258,0.00368399508800655,0,0,0,0,0,0,0.00231275573741327,0.00726291761776302,0.00252721617418351,0.00187178287318671,0.00363020329138432,0.00231850456455586
Coprococcus,0.00525229788032264,0.00675422138836773,0.00515823225986338,0.00431177446102819,0.0024405125076266,0.00607501320655045,0.00469948058372496,0.00351493848857645,0.00410196308233226,0.00364963503649635,0.00301431801055011,0.00163733115022513,0,0,0,0,0.00418480080348175,0,0.0012453300124533,0.00498028636646607,0.0015552099533437,0.00105287786616752,0.000484027105517909,0.0017388784234169
Dorea,0.00131307447008066,0.000938086303939962,0.00557646730796041,0.00563847429519071,0.00341671751067724,0.00382989963021659,0.00197872866683156,0.00246045694200351,0.00205098154116613,0.00202757502027575,0.000753579502637528,0.00122799836266885,0.000893176134333691,0.00109619073718827,0.000667408231368187,0.00137804317868627,0,0.00126502213788741,0.0024906600249066,0.00269765511516912,0.00116640746500778,0.00479644361254095,0.00540496934494998,0.00565135487610491
Anaerotruncus,0.00581504408178578,0.00544090056285178,0,0,0,0,0.00618352708384863,0.0031634446397188,0.00585994726047466,0.0056772100567721,0.00452147701582517,0.00286532951289398,0.00678813862093605,0.000822143052891203,0.00222469410456062,0.00114836931557189,0.0016739203213927,0,0.00106742572495997,0.0014525835235526,0.00174961119751166,0,0.000322684737011939,0.00159397188813215
Cellulosilyticum,0.0009379103357719,0.00112570356472795,0,0.00066334991708126,0.00061012812690665,0,0.00296809300024734,0.00527240773286467,0.00146498681511866,0.00121654501216545,0.00376789751318764,0.00368399508800655,0.00339406931046802,0.000274047684297068,0.00200222469410456,0.00160771704180064,0.0132239705390023,0.00205566097406705,0.00391389432485323,0.00269765511516912,0.00369362363919129,0.0015208235844642,0.000403355921264924,0.0017388784234169
