"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","6/18","180/9369",0.0333333333333333,17.35,9.71741048924321,7.09103341062285e-07,3.68733737352388e-06,1.47152272280595e-06,"AKT1/BCL2/CASP8/JAK2/NFKB1/TNF",6
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","5/18","99/9369",0.0505050505050505,26.2878787878788,11.0973886600717,9.14365675316931e-07,4.62262646965782e-06,1.8447728537096e-06,"AKT1/BCL2/CDK4/MAPK14/MMP9",5
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","6/18","205/9369",0.0292682926829268,15.2341463414634,9.04058391871229,1.52057093074547e-06,7.39861740948611e-06,2.95260035427728e-06,"AKT1/GAPDH/MAPK14/MMP9/NFKB1/PARP1",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","5/18","110/9369",0.0454545454545455,23.6590909090909,10.4878736688521,1.54476627231029e-06,7.39861740948611e-06,2.95260035427728e-06,"AKT1/BCL2/GAPDH/NFKB1/TLR4",5
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","5/18","125/9369",0.04,20.82,9.78722006102868,2.90885568082818e-06,1.35746598438649e-05,5.41730207765572e-06,"AKT1/BCL2/MAPK14/NFKB1/TNF",5
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","6/18","238/9369",0.0252100840336134,13.1218487394958,8.31053212545002,3.62605118077698e-06,1.64985328725352e-05,6.58414556509503e-06,"ACE2/CASP1/MAPK14/NFKB1/TLR4/TNF",6
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","5/18","142/9369",0.0352112676056338,18.3274647887324,9.12808345335412,5.44828262843039e-06,2.41850594725447e-05,9.65164316718092e-06,"AKT1/MAPK14/NFKB1/PPARG/TNF",5
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","4/18","70/9369",0.0571428571428571,29.7428571428571,10.5898911852557,8.08004962048587e-06,3.50135483554388e-05,1.39730181406898e-05,"AKT1/JAK2/NFKB1/TNF",4
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","4/18","71/9369",0.0563380281690141,29.3239436619718,10.5103890096987,8.55217448156293e-06,3.5707891515103e-05,1.42501128660619e-05,"AKT1/JAK2/MAPK14/NFKB1",4
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","5/18","156/9369",0.032051282051282,16.6826923076923,8.66588757325668,8.63267706958534e-06,3.5707891515103e-05,1.42501128660619e-05,"AKT1/CASP8/CDK4/NFKB1/TNF",5
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","5/18","157/9369",0.0318471337579618,16.5764331210191,8.63518291373547,8.90624072928429e-06,3.57843103794803e-05,1.42806096945295e-05,"AKT1/CDK4/MAPK14/NFKB1/SIRT1",5
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","4/18","72/9369",0.0555555555555556,28.9166666666667,10.4325159847172,9.04438613986866e-06,3.57843103794803e-05,1.42806096945295e-05,"CASP8/MAPK14/NFKB1/TNF",4
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","4/18","90/9369",0.0444444444444444,23.1333333333333,9.25652880835427,2.19833301619284e-05,8.51269380738502e-05,3.39719995783439e-05,"AKT1/NFKB1/PPARG/SIRT1",4
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","6/18","333/9369",0.018018018018018,9.37837837837838,6.83006191298536,2.49061921771055e-05,9.44359786715251e-05,3.76870013206202e-05,"AKT1/CASP8/CDK4/NFKB1/PTGS2/TNF",6
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","5/18","195/9369",0.0256410256410256,13.3461538461538,7.64364110583131,2.55012991235171e-05,9.47191110302062e-05,3.77999922561263e-05,"AKT1/CASP1/MAPK14/NFKB1/TLR4",5
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","5/18","204/9369",0.0245098039215686,12.7573529411765,7.44884726770263,3.16929300199235e-05,0.000115362265272522,4.603815097631e-05,"AKT1/MAPK14/MMP9/TLR4/TNF",5
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","6/18","362/9369",0.0165745856353591,8.62707182320442,6.49310917401324,3.99300704586376e-05,0.000142495545558275,5.68663542135396e-05,"AKT1/BCL2/CDK4/JAK2/NFKB1/TLR4",6
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","4/18","106/9369",0.0377358490566038,19.6415094339623,8.4681558187414,4.19256551679871e-05,0.000146739793087955,5.85601256394962e-05,"AKT1/BCL2/MMP9/NFKB1",4
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","6/18","388/9369",0.0154639175257732,8.04896907216495,6.22171029239762,5.89551929890222e-05,0.000202449908000039,8.07926179988587e-05,"AKT1/CASP8/GAPDH/NFKB1/PTGS2/TNF",6
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","4/18","120/9369",0.0333333333333333,17.35,7.90845513840877,6.8171737519496e-05,0.000229764004232375,9.16929802893806e-05,"AKT1/BCL2/MAPK14/NFKB1",4
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","4/18","130/9369",0.0307692307692308,16.0153846153846,7.5635610850308,9.31395825144218e-05,0.000308207345774996,0.000122997726191294,"AKT1/MAPK14/MMP9/NFKB1",4
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","3/18","60/9369",0.05,26.025,8.53156809135094,0.000190293909685459,0.000612599677134606,0.000244472976994146,"AKT1/MAPK14/PTGS2",3
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","6/18","480/9369",0.0125,6.50625,5.4335135749693,0.000191858140641058,0.000612599677134606,0.000244472976994146,"BCL2/CASP8/MAPK14/NFKB1/PTGS2/TNF",6
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","3/18","66/9369",0.0454545454545455,23.6590909090909,8.10463767694305,0.000252637807875571,0.000792760017816447,0.000316370394617321,"NFKB1/TLR4/TNF",3
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","5/18","323/9369",0.0154798761609907,8.05727554179567,5.66292368173984,0.000279286844359797,0.000861528909720052,0.000343814313306441,"BCL2/MMP9/NFKB1/PTGS2/SIRT1",5
