"SampleID","Group","Batch","Cell_Type","Proportion"
"GSM983577","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983577","Bacterial_Pneumonia","GSE40012","T cells CD8",0.141636746162272
"GSM983577","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0915494299452213
"GSM983577","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0.108466913276022
"GSM983577","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.0264183373691296
"GSM983577","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983577","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0
"GSM983577","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0
"GSM983577","Bacterial_Pneumonia","GSE40012","NK cells resting",0.206768513665159
"GSM983577","Bacterial_Pneumonia","GSE40012","NK cells activated",0.0534651486797704
"GSM983577","Bacterial_Pneumonia","GSE40012","Monocytes",0.218796136692153
"GSM983577","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0212842043161096
"GSM983577","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983577","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983577","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983577","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.00387496860148088
"GSM983577","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0219220055165647
"GSM983577","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983577","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983577","Bacterial_Pneumonia","GSE40012","Neutrophils",0.033811754657108
"GSM983578","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983578","Bacterial_Pneumonia","GSE40012","B cells memory",0.080562798466704
"GSM983578","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983578","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983578","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0579746040168444
"GSM983578","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983578","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0
"GSM983578","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983578","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.0255872378458578
"GSM983578","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0194972740403479
"GSM983578","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0166657970462003
"GSM983578","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983578","Bacterial_Pneumonia","GSE40012","Monocytes",0.347932427822638
"GSM983578","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0130474239836529
"GSM983578","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983578","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983578","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983578","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.0118286774023943
"GSM983578","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0113649543081336
"GSM983578","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983578","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983578","Bacterial_Pneumonia","GSE40012","Neutrophils",0.415538805067227
"GSM983590","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983590","Bacterial_Pneumonia","GSE40012","B cells memory",0.0509575091302715
"GSM983590","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983590","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983590","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.137952086542718
"GSM983590","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983590","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0
"GSM983590","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983590","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.0524150392699614
"GSM983590","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0276431023938917
"GSM983590","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0540459915853031
"GSM983590","Bacterial_Pneumonia","GSE40012","NK cells activated",0
